Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
1HOPSAT-TD,NR,USA,Hera Systems,Commercial,Earth Observation,Infrared Imaging,LEO,Non-Polar Inclined,0,566,576,0.001510,36.9,96.08,22,,,11/12/2019,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859
AAC AIS-Sat1 (Kelpie 1),United Kingdom,United Kingdom,AAC Clyde Space,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,637,654,0.001510,98,95,4,4,,03/01/2023,,AAC Clyde Space,Sweden/UK/USA/Netherlands,Cape Canaveral,Falcon 9,2023-001DC,55107
Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,Sun-Synchronous,0,497,517,0.001450,97.45,94.7,5,,4.50,23/06/2017,2,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775
AAt-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,0.001510,98.2,95.9,1,,,25/04/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz-2.1a,2016-025E,41460
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35778,35793,0.000178,0.08,1436.03,6330,,16000.00,06/02/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,35700,35700,0.000000,0,1436.1,1800,,,15/06/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,35788,35803,0.000178,0.1,1436,2000,,,02/03/2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35780,35793,0.000154,0.01,1436.1,4143,1700,7400.00,13/03/2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,35777,35794,0.000202,0.01,1436.08,2894,1730,6800.00,26/09/1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924
Adelis-Sampson 1,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,0,538,561,0.001662,97.5,95.5,9,,,22/03/2021,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022F,47937
Adelis-Sampson 2,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,0,539,599,0.004323,97.5,95.5,9,,,22/03/2021,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022H,47939
Adelis-Sampson 3,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,0,537,561,0.001734,97.5,95.5,9,,,22/03/2021,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022M,47943
ADLER-2,NR (9/23),Austria,Austrian Space Forum (OEWF)/Spire,Civil,Earth Science,,LEO,Sun-Synchronous,0,497,506,0.000655,97.4,95,12,12,,15/04/2023,,Spire Global,USA,Vandenberg AFB,Falcon 9,2023-054K,56187
USA 311,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,0,35700,35800,0.001187,0,1437.6,5400,,,11/12/2020,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,35560,36013,0.005373,7.72,1436.14,5200,,,09/05/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68,35589,35984,0.004685,3.2,1436.1,5200,,,09/09/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,35714,35937,0.002642,2.89,1438.8,5400,,,18/01/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95,35500,35500,0.000000,0,1436,5000,,,21/11/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232
USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,35771,35805,0.000403,0,1436.1,5000,,,29/06/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528
USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,35613,35903,0.003442,7.51,1437.19,5000,,,11/06/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584
USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.1,35700,35803,0.001223,4.2,1436.1,6169,,,18/09/2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256
USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.2,35781,35790,0.000107,0.05,1436.1,6169,,,17/10/2018,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651
USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,35780,35810,0.000356,6.4,1436.2,6169,,,08/08/2019,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481
USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0,35780,35780,0.000000,0,1436,6169,,,26/03/2020,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465
USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120,35772,35801,0.000344,2.34,1436.1,6169,,,03/05/2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,0.022127,0.02,97.4,3,,,13/09/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0,314,317,0.000224,96.7,92.4,1367,,,22/08/2018,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600
Aerocube 11A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,495,511,0.001164,85.03,94.6,4,,,17/12/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861
Aerocube 11B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,492,511,0.001383,85.3,94.6,4,,,17/12/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849
Aerocube 12A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,481,487,0.000438,51.6,94.2,4,,,16/07/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556
Aerocube 12B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,481,487,0.000438,51.6,94.2,4,,,16/07/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557
Aerocube 14A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,459,474,0.001097,51.6,93.9,,,,31/01/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114
Aerocube 14B,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,459,474,0.001097,51.6,93.9,,,,31/01/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116
Aerocube 15A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,458,474,0.001170,51.6,93.9,,,,31/01/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117
Aerocube 5C,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.021507,64.78,97.74,2,,,08/10/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965
Aerocube 6A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.006119,97.98,97.88,5,,,19/06/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045
Aerocube 6B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.006119,97.98,97.88,5,,,19/06/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046
Aerocube 7A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.021507,64.6,97.4,2,,,08/10/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966
Aerocube 8C,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,569,584,0.001080,97.9,96.2,5,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853
Aerocube 8D,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,0.000864,98,96.23,2,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852
Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.00,35764,35808,0.000522,0.12,1436.08,3460,1555,7000.00,20/12/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460
AII-Bravo,Lithuania,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,0,609,613,0.000286,97.8,95.8,9,,,29/04/2021,,NanoAvionics,USA,Guiana Space Center,Vega W18,2021-034C,48270
AII-Charlie,NR,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,0,522,535,0.000942,97.5,95.2,9,,,24/01/2021,,NanoAvionics,USA,Cape Canaveral,Falcon 9,2021-006AD,47440
AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,0.000578,97.9,96.2,215,197,216.00,25/04/2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304
AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,0.001215,98,97.2,6,,,12/07/2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797
AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,0.000429,98.4,97.27,6,,,08/07/2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075
AISTechSat-2,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,574,592,0.001294,97.8,96.4,3,,,03/12/2018,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768
AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,490,506,0.001165,97.5,94.6,2,,,01/04/2019,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20,35777,35796,0.000225,0,1436,3795,,,25/01/2018,15,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0,573,589,0.001151,97.7,96.2,4,,,03/12/2018,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805
Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.8,35744,35798,0.000641,0.04,1436.1,5225,,,10/12/2017,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039
ALE-2,NR,Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,0,397,414,0.001255,97.01,92.06,75,,,06/12/2019,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824
Alfa Crux,Brazil,Brazil,University of Brasilia,Civil,Technology Development,,LEO,Sun-Synchronous,0,499,511,511.000000,97.4,95,1,,,01/04/2022,,University of Brasilia,Brazil,Cape Canaveral,Falcon 9,2022-033D,52160
ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,0.031488,120.3,98,5,,,06/12/2013,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.003049,98.2,98.4,103,,,26/09/2016,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,661,698,0.002624,98.2,98.3,10,,,26/09/2016,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789
Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,0.000142,98.1,98.2,130,,,12/07/2010,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798
